X    f(X)    f'(X)    f''(X)    C(X)    absolute_error
1.850000000000001e-01    -4.957461603436176e-01    4.572617928818778e-02    2.415466061427019e-01    1.550545048923007e-16    1.550545048923007e-16
1.860000000000001e-01    -4.957003134060932e-01    4.596768067430527e-02    2.414560887266040e-01    1.387313225066405e-16    1.387313225066405e-16
1.870000000000001e-01    -4.956542250125188e-01    4.620909131097271e-02    2.413651073057632e-01    2.001651752823746e-16    2.001651752823746e-16
1.880000000000001e-01    -4.956078952538757e-01    4.645041073437513e-02    2.412736622600543e-01    2.287838387398998e-16    2.287838387398998e-16
1.890000000000001e-01    -4.955613242216089e-01    4.669163848107840e-02    2.411817539712151e-01    2.061134278773580e-16    2.061134278773580e-16
1.900000000000001e-01    -4.955145120076268e-01    4.693277408803102e-02    2.410893828228429e-01    2.485493783194944e-16    2.485493783194944e-16
1.910000000000001e-01    -4.954674587043003e-01    4.717381709256602e-02    2.409965492003925e-01    2.472265321033962e-16    2.472265321033962e-16
1.920000000000001e-01    -4.954201644044632e-01    4.741476703240284e-02    2.409032534911731e-01    2.573040276098489e-16    2.573040276098489e-16
1.930000000000001e-01    -4.953726292014111e-01    4.765562344564913e-02    2.408094960843452e-01    2.096478408337967e-16    2.096478408337967e-16
1.940000000000001e-01    -4.953248531889013e-01    4.789638587080263e-02    2.407152773709187e-01    1.804287230634636e-16    1.804287230634636e-16
1.950000000000001e-01    -4.952768364611526e-01    4.813705384675301e-02    2.406205977437494e-01    1.482878459510003e-16    1.482878459510003e-16
1.960000000000001e-01    -4.952285791128445e-01    4.837762691278374e-02    2.405254575975362e-01    1.165499528748550e-16    1.165499528748550e-16
1.970000000000001e-01    -4.951800812391171e-01    4.861810460857387e-02    2.404298573288188e-01    7.919274238719151e-17    7.919274238719151e-17
1.980000000000001e-01    -4.951313429355707e-01    4.885848647419996e-02    2.403337973359746e-01    1.049760683065061e-16    1.049760683065061e-16
1.990000000000001e-01    -4.950823642982652e-01    4.909877205013781e-02    2.402372780192155e-01    1.298137612599670e-16    1.298137612599670e-16
2.000000000000001e-01    -4.950331454237200e-01    4.933896087726439e-02    2.401402997805859e-01    1.400189665550340e-16    1.400189665550340e-16
2.010000000000002e-01    -4.949836864089132e-01    4.957905249685961e-02    2.400428630239589e-01    1.453460154962194e-16    1.453460154962194e-16
2.020000000000002e-01    -4.949339873512816e-01    4.981904645060817e-02    2.399449681550342e-01    1.329505303392609e-16    1.329505303392609e-16
2.030000000000002e-01    -4.948840483487199e-01    5.005894228060138e-02    2.398466155813347e-01    1.670761606163693e-16    1.670761606163693e-16
2.040000000000002e-01    -4.948338694995808e-01    5.029873952933898e-02    2.397478057122038e-01    1.138565589480346e-16    1.138565589480346e-16
